dataset,subject,method,accuracy,kappa,erd_group,erd_value,erd_C3_mu,erd_C3_beta,erd_C3_comp,erd_C4_mu,erd_C4_beta,erd_C4_comp
BNCI2014_004,1,no_adapt,0.6763888888888889,0.35277777777777775,ERS,0.5629153192435008,2.896189087655759,-16.38647457164959,-6.745142741996915,13.56126470746584,2.180682053501989,7.870973380483917
BNCI2014_004,1,tent,0.5333333333333333,0.06666666666666665,ERS,0.5629153192435008,2.896189087655759,-16.38647457164959,-6.745142741996915,13.56126470746584,2.180682053501989,7.870973380483917
BNCI2014_004,1,ek_tta,0.6458333333333334,0.29166666666666663,ERS,0.5629153192435008,2.896189087655759,-16.38647457164959,-6.745142741996915,13.56126470746584,2.180682053501989,7.870973380483917
BNCI2014_004,1,erd_align,0.6763888888888889,0.35277777777777775,ERS,0.5629153192435008,2.896189087655759,-16.38647457164959,-6.745142741996915,13.56126470746584,2.180682053501989,7.870973380483917
BNCI2014_004,1,erd_align_ek,0.6458333333333334,0.29166666666666663,ERS,0.5629153192435008,2.896189087655759,-16.38647457164959,-6.745142741996915,13.56126470746584,2.180682053501989,7.870973380483917
BNCI2014_004,2,no_adapt,0.7014705882352941,0.40294117647058825,ERD,-11.27570685350712,-9.27272523310658,-5.627438587612016,-7.450081910359297,-17.91727799050365,-12.285385602806242,-15.101331796654945
BNCI2014_004,2,tent,0.525,0.050000000000000044,ERD,-11.27570685350712,-9.27272523310658,-5.627438587612016,-7.450081910359297,-17.91727799050365,-12.285385602806242,-15.101331796654945
BNCI2014_004,2,ek_tta,0.5058823529411764,0.0117647058823529,ERD,-11.27570685350712,-9.27272523310658,-5.627438587612016,-7.450081910359297,-17.91727799050365,-12.285385602806242,-15.101331796654945
BNCI2014_004,2,erd_align,0.7088235294117647,0.41764705882352937,ERD,-11.27570685350712,-9.27272523310658,-5.627438587612016,-7.450081910359297,-17.91727799050365,-12.285385602806242,-15.101331796654945
BNCI2014_004,2,erd_align_ek,0.5323529411764706,0.06470588235294117,ERD,-11.27570685350712,-9.27272523310658,-5.627438587612016,-7.450081910359297,-17.91727799050365,-12.285385602806242,-15.101331796654945
BNCI2014_004,3,no_adapt,0.5041666666666667,0.008333333333333304,ERS,46.66471093176428,76.18856648479013,39.80211253879803,57.99533951179408,48.67805047263082,21.99011423083813,35.33408235173449
BNCI2014_004,3,tent,0.49722222222222223,-0.005555555555555536,ERS,46.66471093176428,76.18856648479013,39.80211253879803,57.99533951179408,48.67805047263082,21.99011423083813,35.33408235173449
BNCI2014_004,3,ek_tta,0.4986111111111111,-0.002777777777777768,ERS,46.66471093176428,76.18856648479013,39.80211253879803,57.99533951179408,48.67805047263082,21.99011423083813,35.33408235173449
BNCI2014_004,3,erd_align,0.5041666666666667,0.008333333333333304,ERS,46.66471093176428,76.18856648479013,39.80211253879803,57.99533951179408,48.67805047263082,21.99011423083813,35.33408235173449
BNCI2014_004,3,erd_align_ek,0.4986111111111111,-0.002777777777777768,ERS,46.66471093176428,76.18856648479013,39.80211253879803,57.99533951179408,48.67805047263082,21.99011423083813,35.33408235173449
BNCI2014_004,4,no_adapt,0.8662162162162163,0.7324324324324325,ERS,24.077991701673607,47.119960771943916,-10.278143852377848,18.420908459783032,53.42955012994374,6.040599757184624,29.735074943564182
BNCI2014_004,4,tent,0.6027027027027027,0.20540540540540542,ERS,24.077991701673607,47.119960771943916,-10.278143852377848,18.420908459783032,53.42955012994374,6.040599757184624,29.735074943564182
BNCI2014_004,4,ek_tta,0.8243243243243243,0.6486486486486487,ERS,24.077991701673607,47.119960771943916,-10.278143852377848,18.420908459783032,53.42955012994374,6.040599757184624,29.735074943564182
BNCI2014_004,4,erd_align,0.8662162162162163,0.7324324324324325,ERS,24.077991701673607,47.119960771943916,-10.278143852377848,18.420908459783032,53.42955012994374,6.040599757184624,29.735074943564182
BNCI2014_004,4,erd_align_ek,0.8243243243243243,0.6486486486486487,ERS,24.077991701673607,47.119960771943916,-10.278143852377848,18.420908459783032,53.42955012994374,6.040599757184624,29.735074943564182
BNCI2014_004,5,no_adapt,0.7864864864864864,0.5729729729729729,ERD,-18.79140904357806,-29.539936304799035,-14.278162360407743,-21.909049332603388,-19.28605829527407,-12.061479213831396,-15.673768754552732
BNCI2014_004,5,tent,0.7108108108108108,0.42162162162162165,ERD,-18.79140904357806,-29.539936304799035,-14.278162360407743,-21.909049332603388,-19.28605829527407,-12.061479213831396,-15.673768754552732
BNCI2014_004,5,ek_tta,0.7743243243243243,0.5486486486486486,ERD,-18.79140904357806,-29.539936304799035,-14.278162360407743,-21.909049332603388,-19.28605829527407,-12.061479213831396,-15.673768754552732
BNCI2014_004,5,erd_align,0.8040540540540541,0.6081081081081081,ERD,-18.79140904357806,-29.539936304799035,-14.278162360407743,-21.909049332603388,-19.28605829527407,-12.061479213831396,-15.673768754552732
BNCI2014_004,5,erd_align_ek,0.7891891891891892,0.5783783783783784,ERD,-18.79140904357806,-29.539936304799035,-14.278162360407743,-21.909049332603388,-19.28605829527407,-12.061479213831396,-15.673768754552732
BNCI2014_004,6,no_adapt,0.7763888888888889,0.5527777777777778,ERD,-15.053883100201865,-10.562798992477912,-16.117748736325552,-13.340273864401732,-19.009827938076704,-14.525156733927295,-16.767492336002
BNCI2014_004,6,tent,0.5055555555555555,0.011111111111111072,ERD,-15.053883100201865,-10.562798992477912,-16.117748736325552,-13.340273864401732,-19.009827938076704,-14.525156733927295,-16.767492336002
BNCI2014_004,6,ek_tta,0.6180555555555556,0.23611111111111116,ERD,-15.053883100201865,-10.562798992477912,-16.117748736325552,-13.340273864401732,-19.009827938076704,-14.525156733927295,-16.767492336002
BNCI2014_004,6,erd_align,0.7888888888888889,0.5777777777777777,ERD,-15.053883100201865,-10.562798992477912,-16.117748736325552,-13.340273864401732,-19.009827938076704,-14.525156733927295,-16.767492336002
BNCI2014_004,6,erd_align_ek,0.6986111111111111,0.39722222222222225,ERD,-15.053883100201865,-10.562798992477912,-16.117748736325552,-13.340273864401732,-19.009827938076704,-14.525156733927295,-16.767492336002
BNCI2014_004,7,no_adapt,0.7652777777777777,0.5305555555555556,ERS,23.26046284537918,39.08893340229633,7.3340697005271185,23.211501551411722,38.482610570493826,8.136237708199449,23.30942413934664
BNCI2014_004,7,tent,0.5027777777777778,0.005555555555555536,ERS,23.26046284537918,39.08893340229633,7.3340697005271185,23.211501551411722,38.482610570493826,8.136237708199449,23.30942413934664
BNCI2014_004,7,ek_tta,0.6902777777777778,0.38055555555555554,ERS,23.26046284537918,39.08893340229633,7.3340697005271185,23.211501551411722,38.482610570493826,8.136237708199449,23.30942413934664
BNCI2014_004,7,erd_align,0.7652777777777777,0.5305555555555556,ERS,23.26046284537918,39.08893340229633,7.3340697005271185,23.211501551411722,38.482610570493826,8.136237708199449,23.30942413934664
BNCI2014_004,7,erd_align_ek,0.6902777777777778,0.38055555555555554,ERS,23.26046284537918,39.08893340229633,7.3340697005271185,23.211501551411722,38.482610570493826,8.136237708199449,23.30942413934664
BNCI2014_004,8,no_adapt,0.7315789473684211,0.4631578947368421,ERS,66.64551156032095,46.34767137762114,-11.817131606254799,17.26526988568317,217.2509286881404,14.800577781777093,116.02575323495874
BNCI2014_004,8,tent,0.7302631578947368,0.4605263157894737,ERS,66.64551156032095,46.34767137762114,-11.817131606254799,17.26526988568317,217.2509286881404,14.800577781777093,116.02575323495874
